Fecha_hecho,Departamento,Codigo_municipio,Municipio,Cantidad,Tipo_evento,Armas_medios,Genero,Grupo_etario,Zona,Edad,Usuario_via,Actor_vial
2023-08-29,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2022-04-24,Cundinamarca,25286,Funza,3.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2022-04-13,Cundinamarca,25430,Madrid,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2024-06-28,Cundinamarca,25430,Madrid,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2021-01-13,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2021-07-24,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2023-06-29,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2025-11-25,Cundinamarca,25430,Madrid,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2023-07-24,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2024-01-15,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2024-02-29,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2021-04-02,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2021-01-20,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2024-11-01,Cundinamarca,25286,Funza,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2024-08-10,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
2021-08-12,Cundinamarca,25473,Mosquera,1.0,Accidente,No Reportado,No Reportado,No Reportado,No Reportado,31,No Reportado,No Reportado
